"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,";"buzzardLabel";13;"";;;
2;"C1";"1206C";1;"10uF";;;
3;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
4;"G***";"Logo-Front-Soldered-3mm";1;"LOGO";;;
5;"R6,R1,R2,R5";"0603R";4;"4.7k";;;
6;"JP2,JP1";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
7;"R4,R7,R3,R8";"0603R";4;"10k";;;
8;"G***";"Symbol-Front-Air-Quality";1;"LOGO";;;
9;"JP4";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
10;"U3";"SOT-23-5";1;"SE5218";;;
11;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
12;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
13;"K3,K4";"easyC-connector";2;"easyC-SMD";;;
14;"G***";"Symbol-Front-CO2";1;"LOGO";;;
15;"C3,C2";"0603C";2;"2.2uF";;;
16;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
17;"U1";"SOT-363";1;"NMOS-DUAL";;;
18;"U2";"CCS811";1;"CCS811B-JOPR";;;
19;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
20;"JP3,JP5";"SMD_JUMPER";2;"SMD_JUMPER";;;
21;"K1";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
22;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
23;"K2";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
24;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
